序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
42,WHM,五花馬,54IWAHET,WHM-54IWAHET,牛肉拉麵,Beef Ramen,聯發科行善,2024-12-10 12:14:49
43,GLHZ,給力盒子,31WIKPJA,GLHZ-31WIKPJA,普羅旺斯烤雞腿,Provence Herbs Roasted Chicken Leg,聯發科行善,2024-12-10 12:14:49
44,GLHZ,給力盒子,33GZCMRP,GLHZ-33GZCMRP,鹽烤鯖魚,Salt-Grilled Mackerel,聯發科行善,2024-12-10 12:14:49
45,BSK,必勝客,61NVXCQM,BSK-61NVXCQM,夏威夷個人披薩無糖綠茶,Hawaiian Personal Pizza + Sugar-Free Green Tea,聯發科行善,2024-12-10 12:14:49
46,BSK,必勝客,02KUPURU,BSK-02KUPURU,韓式泡菜燒肉個人披薩無糖綠茶,Korean Kimchi & BBQ Pork Personal Pizza + Sugar-Free Green Tea,聯發科行善,2024-12-10 12:14:49
47,BSK,必勝客,00LWKDCU,BSK-00LWKDCU,雙層美式臘腸個人披薩無糖綠茶,Double Pepperoni Personal Pizza + Sugar-Free Green Tea,聯發科行善,2024-12-10 12:14:49
48,BSK,必勝客,95TGUBNW,BSK-95TGUBNW,日式照燒雞個人披薩無糖綠茶,Teriyaki Chicken Personal Pizza + Sugar-Free Green Tea,聯發科行善,2024-12-10 12:14:49
49,BSK,必勝客,64ZRZMTM,BSK-64ZRZMTM,和風章魚燒個人披薩無糖綠茶,Japanese Style Takoyaki Personal Pizza + Sugar-Free Green Tea,聯發科行善,2024-12-10 12:14:49
50,BSK,必勝客,36PGNKED,BSK-36PGNKED,蔬食總匯個人披薩無糖綠茶,Vegetarian Deluxe Personal Pizza + Sugar-Free Green Tea,聯發科行善,2024-12-10 12:14:49
51,JJPG,金金排骨,16EDLMWX,JJPG-16EDLMWX,金金排骨飯,Golden Pork Chop Rice,聯發科行善,2024-12-10 12:14:49
52,JJPG,金金排骨,17CNCYSS,JJPG-17CNCYSS,金金蝦捲飯,Golden Shrimp Roll Rice,聯發科行善,2024-12-10 12:14:49
53,JJPG,金金排骨,49CLCLLK,JJPG-49CLCLLK,滷大排飯,Braised Pork Chop Rice,聯發科行善,2024-12-10 12:14:49
54,JJPG,金金排骨,32XTHJCB,JJPG-32XTHJCB,烤味大雞腿飯,Grilled Chicken Leg Rice,聯發科行善,2024-12-10 12:14:49
55,JJPG,金金排骨,32JQTFIG,JJPG-32JQTFIG,糖醋咕咾肉,Sweet and Sour Pork,聯發科行善,2024-12-10 12:14:49
56,JJPG,金金排骨,16OKVKAW,JJPG-16OKVKAW,雞肉飯便當,Chicken Rice Bento,聯發科行善,2024-12-10 12:14:49
57,LZQHM,蘆洲七號麵線,23XUYTCY,LZQHM-23XUYTCY,綜合麵線,Assorted Vermicelli Soup,聯發科行善,2024-12-10 12:14:49
58,LZQHM,蘆洲七號麵線,46AHOTNG,LZQHM-46AHOTNG,豬肚麵線,Pork Tripe Vermicelli Soup,聯發科行善,2024-12-10 12:14:49
59,LZQHM,蘆洲七號麵線,69XDSQIT,LZQHM-69XDSQIT,大腸麵線,Pork Intestine Vermicelli Soup,聯發科行善,2024-12-10 12:14:49
60,LZQHM,蘆洲七號麵線,00LLHTUD,LZQHM-00LLHTUD,肉羹麵線,Meat Ball and Pork Thick Soup Vermicelli,聯發科行善,2024-12-10 12:14:49
61,LZQHM,蘆洲七號麵線,60ZVLAKZ,LZQHM-60ZVLAKZ,花枝麵線,Squid Vermicelli Soup,聯發科行善,2024-12-10 12:14:49
62,LZQHM,蘆洲七號麵線,38JSESLJ,LZQHM-38JSESLJ,貢丸麵線,Meatball Vermicelli Soup,聯發科行善,2024-12-10 12:14:49
63,NLXJ,能量小姐,43OPENGT,NLXJ-43OPENGT,水煮嫩雞胸-無飯,Poached Tender Chicken Breast (No Rice),聯發科行善,2024-12-10 12:14:49
64,NLXJ,能量小姐,91TUVUSF,NLXJ-91TUVUSF,蒜泥豬里肌,Garlic Pork Tenderloin,聯發科行善,2024-12-10 12:14:49
65,NLXJ,能量小姐,24PPKLAR,NLXJ-24PPKLAR,香滷雞腿,Braised Chicken Leg,聯發科行善,2024-12-10 12:14:49
66,CCFDX,萃茶風大享食,13FOUCHD,CCFDX-13FOUCHD,經典牛丼,Classic Beef Don,聯發科行善,2024-12-10 12:14:49
67,CCFDX,萃茶風大享食,90CXAAVX,CCFDX-90CXAAVX,蔥醬豬丼,Green Onion Sauce Pork Don,聯發科行善,2024-12-10 12:14:49
68,CCFDX,萃茶風大享食,64JMDUTK,CCFDX-64JMDUTK,讚岐海鮮烏龍麵,Sanuki Seafood Udon,聯發科行善,2024-12-10 12:14:49
69,CCFDX,萃茶風大享食,21HPCWNV,CCFDX-21HPCWNV,蔥醬舒肥雞胸餐盒,Green Onion Sauce Sous-vide Chicken Breast Bento,聯發科行善,2024-12-10 12:14:49
70,CCFDX,萃茶風大享食,06CJVJDV,CCFDX-06CJVJDV,咖哩豬丼,Curry Pork Don,聯發科行善,2024-12-10 12:14:49
71,CCFDX,萃茶風大享食,67SPENMK,CCFDX-67SPENMK,泡菜牛丼,Kimchi Beef Don,聯發科行善,2024-12-10 12:14:49
72,LJHNJ,林記海南雞飯,71UELEVK,LJHNJ-71UELEVK,海南雞飯,Hainanese Chicken Rice,聯發科行善,2024-12-10 12:14:49
73,LJHNJ,林記海南雞飯,65SCMAVB,LJHNJ-65SCMAVB,海南雞腿飯,Hainanese Chicken Leg Rice,聯發科行善,2024-12-10 12:14:49
74,LJHNJ,林記海南雞飯,10XQLESE,LJHNJ-10XQLESE,肉骨茶飯,Bak Kut Teh Rice,聯發科行善,2024-12-10 12:14:49
75,LJHNJ,林記海南雞飯,60HFDYEH,LJHNJ-60HFDYEH,餐肉蛋公仔湯麵,Luncheon Meat with Egg Instant Noodle Soup,聯發科行善,2024-12-10 12:14:49
76,GLHZ,給力盒子,93AGVEBG,GLHZ-93AGVEBG,川味椒麻烤雞胸-無飯,Sichuan Pepper Roasted Chicken Breast (No Rice),聯發科行善,2024-12-10 12:14:49
77,BFYJ,八方雲集,76YIFZZC,BFYJ-76YIFZZC,酸辣湯餃,Hot and Sour Soup Dumplings,聯發科行善,2024-12-10 12:14:49
78,BFYJ,八方雲集,84XEOKZQ,BFYJ-84XEOKZQ,招牌乾麵酸辣湯,Signature Dry Noodles with Hot and Sour Soup,聯發科行善,2024-12-10 12:14:49
79,BFYJ,八方雲集,50FGQMZU,BFYJ-50FGQMZU,鮮蝦水餃十顆,Fresh Shrimp Dumplings (10 pieces),聯發科行善,2024-12-10 12:14:49
80,BFYJ,八方雲集,94JSHWBJ,BFYJ-94JSHWBJ,招牌鍋貼十顆,Signature Pot Stickers (10 pieces),聯發科行善,2024-12-10 12:14:49
81,BFYJ,八方雲集,24VKOFIY,BFYJ-24VKOFIY,韓式辣味水餃十顆,Korean Spicy Dumplings (10 pieces),聯發科行善,2024-12-10 12:14:49
82,BFYJ,八方雲集,71FHRDYB,BFYJ-71FHRDYB,紅油菜肉大炒手酸辣湯,Red Oil Vegetable Pork Wonton with Hot and Sour Soup,聯發科行善,2024-12-10 12:14:49
83,HXZ,鬍鬚張,35RPOBEQ,HXZ-35RPOBEQ,蒜泥白肉便當,Garlic Pork Slices Bento,聯發科行善,2024-12-10 12:14:49
84,HXZ,鬍鬚張,25TQCISF,HXZ-25TQCISF,魯肉飯便當,Braised Pork Rice Bento,聯發科行善,2024-12-10 12:14:49
85,HXZ,鬍鬚張,16LPJUMV,HXZ-16LPJUMV,香酥雞腿便當,Crispy Chicken Leg Bento,聯發科行善,2024-12-10 12:14:49
86,HXZ,鬍鬚張,79CWPUBF,HXZ-79CWPUBF,紅糟豆乳腿排便當,Red Yeast Soy Milk Chicken Cutlet Bento,聯發科行善,2024-12-10 12:14:49
87,HXZ,鬍鬚張,69ORXGID,HXZ-69ORXGID,雞魯飯便當,Braised Chicken Rice Bento,聯發科行善,2024-12-10 12:14:49
88,HXZ,鬍鬚張,42ELDCFZ,HXZ-42ELDCFZ,唐山排骨便當,Tangshan Pork Chop Bento,聯發科行善,2024-12-10 12:14:49
89,NLXJ,能量小姐,69YFXASZ,NLXJ-69YFXASZ,日式蔥鹽雞-無飯,Japanese Green Onion Salt Chicken (No Rice),聯發科行善,2024-12-10 12:14:49
90,NLXJ,能量小姐,99HCZVCT,NLXJ-99HCZVCT,韓式菇菇雞,Korean Style Mushroom Chicken,聯發科行善,2024-12-10 12:14:49
91,LSH,梁社漢,79DUKIOW,LSH-79DUKIOW,炸排骨飯,Fried Pork Chop Rice,聯發科行善,2024-12-10 12:14:49
92,LSH,梁社漢,83TASFNU,LSH-83TASFNU,玫瑰油雞腿飯,Rose Wine Soy Sauce Chicken Leg Rice,聯發科行善,2024-12-10 12:14:49
93,LSH,梁社漢,74YBUPUV,LSH-74YBUPUV,焢肉飯,Braised Pork Rice,聯發科行善,2024-12-10 12:14:49
94,LSH,梁社漢,70PDXOPH,LSH-70PDXOPH,黃金塔塔鱈魚排飯,Golden Tartar Cod Fish Fillet Rice,聯發科行善,2024-12-10 12:14:49
95,LSH,梁社漢,05NSNOOT,LSH-05NSNOOT,紅糟肉飯,Red Yeast Pork Rice,聯發科行善,2024-12-10 12:14:49
96,LSH,梁社漢,32MMUOBS,LSH-32MMUOBS,椒麻雞飯,Pepper Chicken Rice,聯發科行善,2024-12-10 12:14:49
97,SUBWA,SUBWAY,06DFACKN,SUBWA-06DFACKN,照燒雞肉6吋,Teriyaki Chicken (6-inch),聯發科行善,2024-12-10 12:14:49
98,SUBWA,SUBWAY,97SSZBEE,SUBWA-97SSZBEE,百味俱樂部6吋,Subway Club (6-inch),聯發科行善,2024-12-10 12:14:49
99,YGCF,陽光廚房,38VGWJEM,YGCF-38VGWJEM,蛋黃燉肉特餐,Braised Pork with Egg Yolk Special Set,聯發科行善,2024-12-10 12:14:49
100,YGCF,陽光廚房,92CUMXUC,YGCF-92CUMXUC,京醬肉絲特餐,Beijing Sauce Shredded Pork Special Set,聯發科行善,2024-12-10 12:14:49
101,YGCF,陽光廚房,26XGPNSR,YGCF-26XGPNSR,蔥爆牛肉特餐,Stir-Fried Beef with Scallion Special Set,聯發科行善,2024-12-10 12:14:49
102,YGCF,陽光廚房,26WNGMNW,YGCF-26WNGMNW,香酥煎鯖魚特餐,Pan-Fried Mackerel Special Set,聯發科行善,2024-12-10 12:14:49
103,YGCF,陽光廚房,99UMQBEV,YGCF-99UMQBEV,御品三杯雞特餐,Royal Three-Cup Chicken Special,聯發科行善,2024-12-10 12:14:49
104,YGCF,陽光廚房,26RYPDKE,YGCF-26RYPDKE,香酥豬排特餐,Crispy Pork Chop Special Set,聯發科行善,2024-12-10 12:14:49
105,FCSL,鳳城燒臘,25BAOYBW,FCSL-25BAOYBW,叉燒燒肉飯,Char Siu with Roasted Pork Rice,聯發科行善,2024-12-10 12:14:49
106,FCSL,鳳城燒臘,98NWUTOO,FCSL-98NWUTOO,燒肉油雞飯,Roasted Pork with Oil-Braised Chicken Rice,聯發科行善,2024-12-10 12:14:49
107,FCSL,鳳城燒臘,52BIDAWF,FCSL-52BIDAWF,xo醬叉燒公仔麵,XO Sauce Char Siu Instant Noodles,聯發科行善,2024-12-10 12:14:49
108,FCSL,鳳城燒臘,37TUNMRG,FCSL-37TUNMRG,餐蛋豬扒飯,Pork Chop with Egg Rice,聯發科行善,2024-12-10 12:14:49
109,HBW,漢堡王,10QVQKWM,HBW-10QVQKWM,花生培根脆雞堡餐(配中洋蔥圈),Peanut Bacon Crispy Chicken Burger Set (with Medium Onion Rings),聯發科行善,2024-12-10 12:14:49
110,HBW,漢堡王,03NJKUOB,HBW-03NJKUOB,Q彈海老堡餐(配中洋蔥圈),Q-Texture Shrimp Burger Set (with Medium Onion Rings),聯發科行善,2024-12-10 12:14:49
111,HBW,漢堡王,88VNZCSP,HBW-88VNZCSP,雙層火烤牛堡餐(配中洋蔥圈),Double Layer Grilled Beef Burger Set (with Medium Onion Rings),聯發科行善,2024-12-10 12:14:49
112,HBW,漢堡王,11OGRAOC,HBW-11OGRAOC,小華堡餐(配中洋蔥圈),Small Burger Set (with Medium Onion Rings),聯發科行善,2024-12-10 12:14:49
113,HBW,漢堡王,06GIWJZJ,HBW-06GIWJZJ,勁濃培根烤腿堡餐(配中洋蔥圈),Rich Bacon Grilled Chicken Leg Burger Set (with Medium Onion Rings),聯發科行善,2024-12-10 12:14:49
114,HBW,漢堡王,10WPMZEF,HBW-10WPMZEF,原味國王大雞堡餐（配小薯條）,Original King Size Chicken Burger Set (with Small Fries),聯發科行善,2024-12-10 12:14:49
115,HBW,漢堡王,52NCXBWG,HBW-52NCXBWG,雙起士培根牛肉堡餐(配中洋蔥圈),Double Cheese Bacon Beef Burger Set (with Medium Onion Rings),聯發科行善,2024-12-10 12:14:49
116,NLXJ,能量小姐,05GYOAPO,NLXJ-05GYOAPO,能-香滷雞腿-無飯,Neng - Braised Chicken Leg (No Rice),聯發科行善,2024-12-10 12:14:49
117,NLXJ,能量小姐,82MGFFWU,NLXJ-82MGFFWU,能-麻香口水雞,Neng - Sichuan Spicy Chicken (Mouth-Watering Chicken),聯發科行善,2024-12-10 12:14:49
118,NLXJ,能量小姐,14TZOKBY,NLXJ-14TZOKBY,能-日式壽喜牛,Neng - Japanese Sukiyaki Beef,聯發科行善,2024-12-10 12:14:49
119,NLXJ,能量小姐,80SWFZVG,NLXJ-80SWFZVG,能-泡菜豬里肌,Neng - Kimchi Pork Tenderloin,聯發科行善,2024-12-10 12:14:49
120,KST,咖食堂,37FZWVTA,KST-37FZWVTA,雞肉咖哩乾烏龍麵,Chicken Curry Dry Udon,聯發科行善,2024-12-10 12:14:49
121,KST,咖食堂,11UVDOPE,KST-11UVDOPE,海鮮咖哩乾烏龍麵,Seafood Curry Dry Udon,聯發科行善,2024-12-10 12:14:49
122,KST,咖食堂,53YGBMPC,KST-53YGBMPC,咖哩雞腿丁飯,Curry Chicken Rice,聯發科行善,2024-12-10 12:14:49
123,KST,咖食堂,87HBNKKO,KST-87HBNKKO,咖哩魚排飯,Curry Fish Fillet Rice,聯發科行善,2024-12-10 12:14:49
124,KST,咖食堂,00ZTJVHG,KST-00ZTJVHG,咖哩起司雞飯,Curry Cheese Chicken Rice,聯發科行善,2024-12-10 12:14:49
125,KST,咖食堂,82KKTJFR,KST-82KKTJFR,牛肉烏龍麵,Beef Udon Noodles,聯發科行善,2024-12-10 12:14:49
126,TTKRF,天天烤肉飯,61NSCMXV,TTKRF-61NSCMXV,招牌烤肉飯,Signature Grilled Pork Rice,聯發科行善,2024-12-10 12:14:49
127,TTKRF,天天烤肉飯,45YNFJEY,TTKRF-45YNFJEY,台式椒麻雞飯,Taiwanese Pepper Chicken Rice,聯發科行善,2024-12-10 12:14:49
128,TTKRF,天天烤肉飯,27NJSOEX,TTKRF-27NJSOEX,雙醬炸豬排飯,Double Sauce Fried Pork Chop Rice,聯發科行善,2024-12-10 12:14:49
129,TTKRF,天天烤肉飯,17TWFRED,TTKRF-17TWFRED,老滷雞腿飯,Traditional Braised Chicken Leg Rice,聯發科行善,2024-12-10 12:14:49
130,TTKRF,天天烤肉飯,84BKTTLC,TTKRF-84BKTTLC,醬燒卡啦雞飯,Braised Crispy Chicken Rice,聯發科行善,2024-12-10 12:14:49
131,TTKRF,天天烤肉飯,85ZRWCRH,TTKRF-85ZRWCRH,蒜泥醬白肉飯,Boiled Pork with Garlic Sauce Rice,聯發科行善,2024-12-10 12:14:49
132,XTS,小台室,99CZOOJV,XTS-99CZOOJV,紐澳良雞腿排餐盒,New Orleans Chicken Cutlet Bento,聯發科行善,2024-12-10 12:14:49
133,XTS,小台室,36TQKLVY,XTS-36TQKLVY,香蒜排骨酥餐盒,Garlic Pork Rib Bento,聯發科行善,2024-12-10 12:14:49
134,XTS,小台室,73MBEJJH,XTS-73MBEJJH,蔥油雞絲餐盒,Green Onion Oil Chicken Strips Bento,聯發科行善,2024-12-10 12:14:49
135,XTS,小台室,98DSJKTN,XTS-98DSJKTN,泰式檸檬魚餐盒,Thai Lemon Fish Bento,聯發科行善,2024-12-10 12:14:49
136,XTS,小台室,18SXRIZZ,XTS-18SXRIZZ,瓜仔肉飯原味小雞湯,Melon Pork Rice with Original Chicken Soup,聯發科行善,2024-12-10 12:14:49
137,XTS,小台室,82YDABRW,XTS-82YDABRW,瓜仔肉飯餐盒,Melon Pork Rice Bento,聯發科行善,2024-12-10 12:14:49
138,LSH,梁社漢,55IUSKPB,LSH-55IUSKPB,炸雞腿飯,Fried Chicken Leg Rice,聯發科行善,2024-12-10 12:14:49
139,ZZXCG,珍饌小餐館,27QUIOOS,ZZXCG-27QUIOOS,扁食湯板條,Wonton Soup with Flat Noodles,聯發科行善,2024-12-10 12:14:49
140,ZZXCG,珍饌小餐館,15CGBFFU,ZZXCG-15CGBFFU,榨菜肉絲湯麵,Shredded Pork with Preserved Mustard Soup Noodles,聯發科行善,2024-12-10 12:14:49
141,ZZXCG,珍饌小餐館,22RHVQOK,ZZXCG-22RHVQOK,古早味蛋包飯扁食湯,Traditional Omelette Rice with Wonton Soup,聯發科行善,2024-12-10 12:14:49
142,ZZXCG,珍饌小餐館,32QAIQWB,ZZXCG-32QAIQWB,大台南米糕虱目魚丸湯,Tainan Style Rice Cake with Milkfish Ball Soup,聯發科行善,2024-12-10 12:14:49
143,ZZXCG,珍饌小餐館,13ERUFCD,ZZXCG-13ERUFCD,刈包(肥瘦個半)貢丸湯,Meatball Soup with Gua Bao (Half Lean Half Fat),聯發科行善,2024-12-10 12:14:49
144,HXZ,鬍鬚張,53SFMHOQ,HXZ-53SFMHOQ,胭脂梅花肉香腸雙拼便當,Plum Marinated Pork & Sausage Duo Bento,聯發科行善,2024-12-10 12:14:49
145,BFYJ,八方雲集,13JGZICB,BFYJ-13JGZICB,韓式辣味鍋貼十顆,Korean Spicy Pot Stickers (10 pieces),聯發科行善,2024-12-10 12:14:49
146,BFYJ,八方雲集,62AMFROA,BFYJ-62AMFROA,玉米湯餃,Corn Soup Dumplings,聯發科行善,2024-12-10 12:14:49
147,BFYJ,八方雲集,66BTCZFE,BFYJ-66BTCZFE,新蔬食水餃十顆,New Vegetarian Dumplings (10 pieces),聯發科行善,2024-12-10 12:14:49
148,BFYJ,八方雲集,40KTFAZL,BFYJ-40KTFAZL,菜肉大餛飩麵,Vegetable and Pork Wonton Noodles,聯發科行善,2024-12-10 12:14:49
149,HFKY,伙房烤魚,71DXLMOM,HFKY-71DXLMOM,黑椒牛肉飯,Black Pepper Beef Rice,聯發科行善,2024-12-10 12:14:49
150,HFKY,伙房烤魚,86PBRPBX,HFKY-86PBRPBX,豬排親子丼飯,Pork Cutlet with Egg Rice Bowl (Oyakodon),聯發科行善,2024-12-10 12:14:49
151,HFKY,伙房烤魚,58RLBMRZ,HFKY-58RLBMRZ,金湯酸菜魚小火鍋,Sour Cabbage Fish Hot Pot with Golden Soup,聯發科行善,2024-12-10 12:14:49
152,HFKY,伙房烤魚,30DZTTKR,HFKY-30DZTTKR,麻辣豬五花小火鍋,Spicy Pork Belly Mini Hot Pot,聯發科行善,2024-12-10 12:14:49
153,HFKY,伙房烤魚,98FSDHFZ,HFKY-98FSDHFZ,宮保雞丁飯,Kung Pao Chicken Rice,聯發科行善,2024-12-10 12:14:49
154,HFKY,伙房烤魚,48BFAZUS,HFKY-48BFAZUS,糖醋魚排飯,Sweet and Sour Fish Fillet Rice,聯發科行善,2024-12-10 12:14:49
155,FCSL,鳳城燒臘,06ZPSPTT,FCSL-06ZPSPTT,招牌三寶飯,Signature Three Treasures Rice,聯發科行善,2024-12-10 12:14:49
156,WHM,五花馬,65BZUMGJ,WHM-65BZUMGJ,川味擔擔麵,Szechuan Dan Dan Noodles,聯發科行善,2024-12-10 12:14:49
157,WHM,五花馬,39IGQUNX,WHM-39IGQUNX,小米粥港式蘿蔔糕,Congee with Hong Kong Style Radish Cake,聯發科行善,2024-12-10 12:14:49
158,WHM,五花馬,24SCEJGL,WHM-24SCEJGL,高麗菜水餃10粒,Cabbage Dumplings (10 pieces),聯發科行善,2024-12-10 12:14:49
159,WHM,五花馬,04SPMCRW,WHM-04SPMCRW,溫洲大雲吞麵,Wenzhou Large Wonton Noodles,聯發科行善,2024-12-10 12:14:49
160,TSF,太師傅,25EDHCVS,TSF-25EDHCVS,和風雞腿飯,Japanese Style Chicken Leg Rice,聯發科行善,2024-12-10 12:14:49
161,TSF,太師傅,51STCRUS,TSF-51STCRUS,五香豬排飯,Five-Spice Pork Chop Rice,聯發科行善,2024-12-10 12:14:49
162,TSF,太師傅,72VLBCYP,TSF-72VLBCYP,三杯雞丁飯,Three-Cup Chicken Rice,聯發科行善,2024-12-10 12:14:49
163,TSF,太師傅,80HUFTOL,TSF-80HUFTOL,美味雙享便當,Double Delight Bento Box,聯發科行善,2024-12-10 12:14:49
